#Pixel Wavelength_nm Field30 Field175 Field320 Field465 Field610
367.0000 800.0391 1.0710 1.1034 1.0989 1.0949 1.0950
368.0000 795.0154 1.0897 1.1287 1.1014 1.1203 1.0416
369.0000 789.9918 1.1259 1.1419 1.1272 1.1518 1.1140
370.0000 784.9682 1.1449 1.1733 1.1673 1.1938 1.1577
371.0000 779.9448 1.1411 1.1859 1.1751 1.1991 1.1622
372.0000 774.9215 1.1243 1.1649 1.1640 1.1879 1.1583
373.0000 769.8983 1.1334 1.1752 1.1494 1.1840 1.1503
374.0000 764.8753 1.1230 1.1646 1.1678 1.1737 1.1367
375.0000 759.8523 1.1341 1.1679 1.1589 1.1812 1.1419
376.0000 754.8295 1.1538 1.1835 1.1814 1.2005 1.1672
377.0000 749.8069 1.1410 1.1826 1.1816 1.2002 1.1445
378.0000 744.7844 1.1303 1.1788 1.1515 1.1784 1.1412
379.0000 739.7620 1.1285 1.1681 1.1601 1.1641 1.1259
380.0000 734.7398 1.1388 1.1609 1.1620 1.1881 1.1125
381.0000 729.7178 1.1345 1.1828 1.1773 1.1903 1.1333
382.0000 724.6960 1.1570 1.2046 1.1765 1.1995 1.1585
383.0000 719.6743 1.1579 1.2059 1.2003 1.2200 1.1756
384.0000 714.6528 1.1811 1.2270 1.2073 1.2363 1.1873
385.0000 709.6315 1.1509 1.2008 1.2028 1.2487 1.1707
386.0000 704.6104 1.1002 1.1653 1.1532 1.1689 1.1159
387.0000 699.5895 1.0777 1.1292 1.1227 1.1093 1.0772
388.0000 694.5689 1.0464 1.0770 1.0895 1.0954 1.0680
389.0000 689.5484 1.0467 1.0718 1.0675 1.0683 1.0721
